         11521085 function calls (10993404 primitive calls) in 5.859 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      498    0.003    0.000    0.004    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/analysis.py:91(liveness)
     4709    0.003    0.000    0.049    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/llvmlite/binding/module.py:220(__next__)
2789/2787    0.003    0.000    0.016    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/types/abstract.py:61(__call__)
     2301    0.003    0.000    0.005    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/llvmlite/ir/instructions.py:681(descr)
     5694    0.003    0.000    0.010    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/llvmlite/binding/ffi.py:327(close)
     3168    0.002    0.000    0.032    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/llvmlite/binding/value.py:187(name)
    76/72    0.002    0.000    0.125    0.002 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/rewrites/registry.py:54(apply)
     5486    0.002    0.000    0.010    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/llvmlite/binding/ffi.py:370(__del__)
     3697    0.002    0.000    0.003    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/controlflow.py:382(_dfs)
     2301    0.002    0.000    0.014    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/llvmlite/ir/builder.py:967(extract_value)
     9907    0.002    0.000    0.045    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/ir.py:598(list_vars)
     3418    0.002    0.000    0.022    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/colorama/initialise.py:111(wrap_stream)
     5940    0.002    0.000    0.003    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/errors.py:812(new_error_context)
        4    0.002    0.001    0.002    0.001 {method 'readlines' of '_io._IOBase' objects}
     1501    0.002    0.000    0.005    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/llvmlite/ir/transforms.py:15(visit_BasicBlock)
     4984    0.002    0.000    0.004    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/target_extension.py:14(__getitem__)
      342    0.002    0.000    0.003    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/analysis.py:190(compute_live_variables)
     2495    0.002    0.000    0.025    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/llvmlite/binding/value.py:250(is_declaration)
13664/10952    0.002    0.000    0.006    0.000 <frozen abc>:121(__subclasscheck__)
    16206    0.002    0.000    0.002    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/llvmlite/binding/ffi.py:132(__getattr__)
    36578    0.002    0.000    0.002    0.000 {built-in method builtins.id}
   107/39    0.002    0.000    0.757    0.019 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/lowering.py:275(lower_block)
      776    0.002    0.000    0.003    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/pathlib.py:56(parse_parts)
     2979    0.002    0.000    0.007    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/llvmlite/ir/types.py:77(__call__)
     2040    0.002    0.000    0.005    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/np/numpy_support.py:125(as_dtype)
     2776    0.002    0.000    0.006    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/base.py:123(_match)
     1900    0.002    0.000    0.002    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/compiler_machinery.py:385(resolve_requires)
     3418    0.002    0.000    0.002    0.000 {method 'isatty' of '_io.TextIOWrapper' objects}
     1245    0.002    0.000    0.010    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/numba/core/typing/context.py:287(find_matching_getattr_template)
      855    0.002    0.000    0.008    0.000 /Users/adamkudelas/anaconda3/lib/python3.11/site-packages/llvmlite/ir/instructions.py:133(_descr)
